graph PotentialVertexes VertexMapSize Edges VertexOperations EdgeOperations PQOperations
0 10 10 26 9 22 30
1 10 10 32 9 28 16
2 10 10 38 10 38 34
3 10 10 44 10 44 34
4 10 10 50 10 50 36
5 10 10 56 10 56 40
6 10 10 62 10 62 56
7 10 10 68 10 68 62
8 10 10 74 10 74 44
9 10 10 80 10 80 46
10 20 20 104 20 104 128
11 20 20 128 20 128 170
12 20 20 152 20 152 150
13 20 20 176 20 176 207
14 20 20 200 20 200 172
15 20 20 224 20 224 214
16 20 20 248 20 248 194
17 20 20 272 20 272 167
18 20 20 296 20 296 187
19 20 20 320 20 320 221
20 30 30 234 30 234 352
21 30 30 288 30 288 292
22 30 30 342 30 342 426
23 30 30 396 30 396 458
24 30 30 450 30 450 337
25 30 30 504 30 504 400
26 30 30 558 30 558 414
27 30 30 612 30 612 354
28 30 30 666 30 666 354
29 30 30 720 30 720 346
30 40 40 416 40 416 605
31 40 40 512 40 512 532
32 40 40 608 40 608 506
33 40 40 704 40 704 578
34 40 40 800 40 800 578
35 40 40 896 40 896 596
36 40 40 992 40 992 646
37 40 40 1088 40 1088 688
38 40 40 1184 40 1184 588
39 40 40 1280 40 1280 644
40 50 50 650 50 650 651
41 50 50 800 50 800 825
42 50 50 950 50 950 810
43 50 50 1100 50 1100 887
44 50 50 1250 50 1250 884
45 50 50 1400 50 1400 735
46 50 50 1550 50 1550 869
47 50 50 1700 50 1700 812
48 50 50 1850 50 1850 794
49 50 50 2000 50 2000 882
