1 4 7
12 10 2
7 12 4
13 8 6
6 8 6
0 16 2
18 4 7
16 19 7
2 8 5
11 1 2
6 13 4
15 11 6
14 10 8
2 1 8
7 8 5
6 4 7
19 11 9
17 2 2
9 8 6
7 5 4
1 3 3
3 15 2
9 10 8
9 7 5
5 18 1
1 18 8
8 5 6
5 2 1
9 4 8
9 2 4
2 9 9
8 19 7
6 0 1
5 8 3
10 15 5
1 8 2
4 11 8
2 4 3
4 0 2
8 2 7
8 7 7
4 3 2
8 4 2
8 3 1
5 6 9
7 0 6
3 5 9
8 9 4
6 2 3
4 8 7
4 9 7
3 6 6
9 3 4
1 0 6
9 5 8
0 8 3
1 2 3
0 9 7
7 2 5
2 5 5
3 7 1
1 5 6
2 7 7
5 3 7
2 6 7
0 2 7
4 7 8
7 4 4
8 0 2
1 6 4
5 0 6
5 7 7
9 0 7
0 4 1
2 3 8
4 2 6
6 3 5
0 6 6
3 4 2
2 0 6
20:80
